INFO: 2024/10/30 15:20:31 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.5424ms
INFO: 2024/10/30 15:50:29 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 9.9648ms
INFO: 2024/10/30 15:50:45 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.9677ms
INFO: 2024/10/30 15:51:00 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.0669ms
INFO: 2024/10/30 15:53:38 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.5307ms
INFO: 2024/10/30 15:53:54 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.2082ms
INFO: 2024/10/30 15:54:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 6.5092ms
INFO: 2024/10/30 15:55:16 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.3241ms
INFO: 2024/10/30 15:56:26 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 10.2526ms
INFO: 2024/10/30 15:56:36 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 33.8572ms
INFO: 2024/10/30 15:56:43 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 24.9646ms
INFO: 2024/10/30 15:56:48 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.5836ms
INFO: 2024/10/30 15:56:54 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 9.2896ms
INFO: 2024/10/30 15:57:08 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 8.0647ms
INFO: 2024/10/30 16:04:45 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 52.6893ms
INFO: 2024/10/30 16:05:36 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 72.4316ms
INFO: 2024/10/30 16:06:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 96.4294ms
INFO: 2024/10/30 16:06:41 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 69.1953ms
INFO: 2024/10/30 16:18:36 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 42.4163ms
INFO: 2024/10/30 16:18:51 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 42.8447ms
INFO: 2024/10/30 16:19:27 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 38.2988ms
INFO: 2024/10/30 16:47:11 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 40.027ms
INFO: 2024/10/30 16:50:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 39.5091ms
INFO: 2024/10/30 16:51:15 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 156.0643ms
INFO: 2024/10/30 16:52:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 34.8699ms
INFO: 2024/10/30 17:25:42 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 4.4971ms
INFO: 2024/10/30 17:29:51 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 6.9023ms
INFO: 2024/10/30 17:30:47 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 3.0001ms
INFO: 2024/10/30 17:38:30 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 5.8657ms
INFO: 2024/10/30 17:42:52 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 4.8084ms
INFO: 2024/10/30 17:46:25 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 4.2615ms
INFO: 2024/10/30 17:47:53 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 39.1128ms
INFO: 2024/10/30 17:59:44 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 4.709ms
INFO: 2024/10/30 18:00:56 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 4.4434ms
INFO: 2024/10/30 18:01:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 2.9964ms
INFO: 2024/10/30 18:02:33 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 6.6634ms
INFO: 2024/10/30 20:01:12 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 34.4657ms
INFO: 2024/10/30 20:14:34 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 45.3965ms
INFO: 2024/10/30 20:16:48 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 42.5685ms
INFO: 2024/10/30 20:17:25 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 34.515ms
INFO: 2024/10/30 20:18:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 1, total time costs 100.318ms
INFO: 2024/10/30 20:22:02 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 1, total time costs 68.8149ms
INFO: 2024/10/30 20:22:42 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 138.1563ms
INFO: 2024/10/30 20:23:34 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 101.966ms
INFO: 2024/10/30 20:24:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 103.5559ms
INFO: 2024/10/30 20:25:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 95.6201ms
INFO: 2024/10/30 20:26:02 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 94.5033ms
INFO: 2024/10/30 20:26:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 102.6319ms
INFO: 2024/10/30 20:27:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 124.9886ms
INFO: 2024/10/30 20:28:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 94.915ms
INFO: 2024/10/30 20:29:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 600, total time costs 106.6264ms
INFO: 2024/10/31 13:55:29 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 17.2339ms
INFO: 2024/10/31 13:59:47 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 37.7398ms
INFO: 2024/10/31 13:59:55 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 26.6052ms
INFO: 2024/10/31 14:00:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 110,  total process had_lane_link: 1, total time costs 51.6873ms
INFO: 2024/10/31 14:02:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 110,  total process had_lane_link: 1, total time costs 67.6402ms
INFO: 2024/10/31 14:02:49 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 458.5453ms
INFO: 2024/10/31 14:03:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 150.9221ms
INFO: 2024/10/31 14:03:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 692.8384ms
INFO: 2024/10/31 14:04:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 1, total time costs 770.2339ms
INFO: 2024/10/31 14:04:48 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 1, total time costs 320.3092ms
INFO: 2024/10/31 14:07:21 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 611,  total process had_lane_link: 1, total time costs 145.7872ms
INFO: 2024/10/31 14:13:26 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 611,  total process had_lane_link: 1, total time costs 227.2242ms
INFO: 2024/10/31 14:13:42 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 611,  total process had_lane_link: 1, total time costs 151.0122ms
INFO: 2024/10/31 14:14:13 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 611,  total process had_lane_link: 1, total time costs 181.8582ms
INFO: 2024/10/31 14:19:53 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 611,  total process had_lane_link: 1, total time costs 262.2375ms
INFO: 2024/10/31 16:30:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 269.1236ms
INFO: 2024/10/31 16:30:45 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 20.8592ms
INFO: 2024/10/31 16:34:00 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 310.7685ms
INFO: 2024/10/31 16:40:31 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 290.7789ms
INFO: 2024/10/31 16:41:41 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 11, total time costs 330.8859ms
INFO: 2024/10/31 16:43:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 229.8278ms
INFO: 2024/10/31 16:43:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 18.7589ms
INFO: 2024/10/31 16:44:09 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 365.6359ms
INFO: 2024/10/31 16:50:25 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 379.716ms
INFO: 2024/10/31 17:08:40 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 343.0261ms
INFO: 2024/10/31 17:18:27 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 345.8719ms
INFO: 2024/10/31 17:19:48 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 213.9469ms
INFO: 2024/10/31 17:20:01 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 55.1207ms
INFO: 2024/10/31 17:21:56 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 10,  total process had_lane_link: 1, total time costs 233.9126ms
INFO: 2024/10/31 17:22:57 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 467.9076ms
INFO: 2024/10/31 17:29:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 318.6437ms
INFO: 2024/10/31 17:29:16 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 63.7477ms
INFO: 2024/10/31 17:29:21 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 63.2746ms
INFO: 2024/10/31 17:29:26 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 63.6856ms
INFO: 2024/10/31 17:29:44 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 187.9768ms
INFO: 2024/10/31 17:29:49 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 51.7541ms
INFO: 2024/10/31 17:30:37 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 141.7731ms
INFO: 2024/10/31 17:30:52 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 11, total time costs 99.6499ms
INFO: 2024/10/31 17:31:09 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 3.0169453s
INFO: 2024/10/31 17:31:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 2.944167s
INFO: 2024/10/31 17:31:56 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 3.014098s
INFO: 2024/10/31 17:32:08 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 3.0264495s
INFO: 2024/10/31 17:39:43 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 500,  total process had_lane_link: 501, total time costs 3.011728s
INFO: 2024/10/31 17:44:49 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 500,  total process had_lane_link: 501, total time costs 3.0037507s
INFO: 2024/10/31 17:48:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 3.0052375s
INFO: 2024/10/31 17:48:59 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 2.9749781s
INFO: 2024/10/31 17:53:21 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 600,  total process had_lane_link: 101, total time costs 3.0067264s
INFO: 2024/10/31 17:55:26 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 286.5931ms
INFO: 2024/10/31 17:55:40 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 54.3983ms
INFO: 2024/10/31 18:01:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 3.65ms
INFO: 2024/10/31 18:01:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 5.108ms
INFO: 2024/10/31 18:01:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 672.8552ms
INFO: 2024/10/31 18:01:21 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 354.7041ms
INFO: 2024/10/31 18:01:21 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 321.1984ms
INFO: 2024/10/31 18:01:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 393.264ms
INFO: 2024/10/31 18:01:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 248.5006ms
INFO: 2024/10/31 18:01:23 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 298.6319ms
INFO: 2024/10/31 18:01:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 434.2355ms
INFO: 2024/10/31 18:01:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 242.6203ms
INFO: 2024/10/31 18:01:25 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 302.8453ms
INFO: 2024/10/31 18:01:26 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 243.3349ms
INFO: 2024/10/31 18:01:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 269.7079ms
INFO: 2024/10/31 18:01:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 262.1432ms
INFO: 2024/10/31 18:01:29 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 352.5379ms
INFO: 2024/10/31 18:01:29 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 484.5229ms
INFO: 2024/10/31 18:01:30 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 276.7014ms
INFO: 2024/10/31 18:01:32 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 243.8547ms
INFO: 2024/10/31 18:01:33 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 428.4352ms
INFO: 2024/10/31 18:01:34 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 300.0561ms
INFO: 2024/10/31 18:01:34 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 300,  total process had_lane_link: 1, total time costs 312.8731ms
INFO: 2024/10/31 18:04:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.1608ms
INFO: 2024/10/31 18:04:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.7498ms
INFO: 2024/10/31 18:04:03 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.7498ms
INFO: 2024/10/31 18:04:04 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 9.9439ms
INFO: 2024/10/31 18:04:04 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 11.2549ms
INFO: 2024/10/31 18:04:04 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 13.4321ms
INFO: 2024/10/31 18:04:05 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 12.9966ms
INFO: 2024/10/31 18:04:05 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 14.1026ms
INFO: 2024/10/31 18:04:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 80.1835ms
INFO: 2024/10/31 18:04:07 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 91.3169ms
INFO: 2024/10/31 18:04:08 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 3.7378ms
INFO: 2024/10/31 18:04:08 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 16.6367ms
INFO: 2024/10/31 18:04:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 105.5036ms
INFO: 2024/10/31 18:04:11 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 23.1539ms
INFO: 2024/10/31 18:04:12 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 11.981ms
INFO: 2024/10/31 18:04:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 104.7196ms
INFO: 2024/10/31 18:04:14 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 65.0509ms
INFO: 2024/10/31 18:04:15 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 4.3152ms
INFO: 2024/10/31 18:04:15 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 26.4224ms
INFO: 2024/10/31 18:05:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.2993ms
INFO: 2024/10/31 18:05:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.0615ms
INFO: 2024/10/31 18:05:19 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 1.9192ms
INFO: 2024/10/31 18:05:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 7.2892ms
INFO: 2024/10/31 18:05:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 2.5079ms
INFO: 2024/10/31 18:05:20 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 3.0978ms
INFO: 2024/10/31 18:05:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 9.7233ms
INFO: 2024/10/31 18:05:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 9.4351ms
INFO: 2024/10/31 18:05:22 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 8.1931ms
INFO: 2024/10/31 18:05:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 19.024ms
INFO: 2024/10/31 18:05:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 10.9908ms
INFO: 2024/10/31 18:05:24 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 24.9055ms
INFO: 2024/10/31 18:05:25 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 12.8165ms
INFO: 2024/10/31 18:05:27 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 33.3125ms
INFO: 2024/10/31 18:05:27 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 58.286ms
INFO: 2024/10/31 18:05:28 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 3.0555ms
INFO: 2024/10/31 18:05:30 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 3.3662ms
INFO: 2024/10/31 18:05:31 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 3.8103ms
INFO: 2024/10/31 18:05:33 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 2.8588ms
INFO: 2024/10/31 18:06:54 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 2.2837ms
INFO: 2024/10/31 18:06:54 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 2.2837ms
INFO: 2024/10/31 18:06:55 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 605.4913ms
INFO: 2024/10/31 18:06:56 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 158.8952ms
INFO: 2024/10/31 18:06:56 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 100,  total process had_lane_link: 1, total time costs 145.8527ms
